Timestamp,Transaction ID,Traffic Volume (Mbps),Number of Active Users,Network Slice ID,Requested Bandwidth (Mbps),Actual Bandwidth Allocated (Mbps),Latency (ms),Congestion Level,Queue Length (Packets),Transaction Success (1/0)
2025-01-24 05:33:43,TX00001,98,921766,Slice-1,143,126,413,Low,279,0
2025-01-09 04:59:09,TX00002,730,608467,Slice-1,746,745,418,Low,107,0
2025-01-11 06:26:20,TX00003,561,221622,Slice-2,605,597,395,Medium,418,0
2025-01-11 14:09:02,TX00004,786,839237,Slice-2,806,803,253,Low,186,1
2025-01-13 18:30:54,TX00005,450,3964,Slice-1,485,482,302,Medium,155,0
2025-01-12 01:08:47,TX00006,77,378616,Slice-1,117,112,493,High,425,0
2025-01-18 03:43:27,TX00007,363,273762,Slice-1,410,392,68,Medium,421,1
2025-01-18 11:14:09,TX00008,68,232417,Slice-3,90,75,495,Medium,142,0
2025-01-01 19:01:02,TX00009,838,300986,Slice-2,862,860,366,Low,76,0
2025-01-17 21:51:24,TX00010,640,974779,Slice-2,652,642,167,High,257,0
2025-01-23 05:56:34,TX00011,354,216368,Slice-3,379,371,294,Low,269,1
2025-01-25 15:11:54,TX00012,543,456874,Slice-2,563,562,63,Medium,208,0
2025-01-29 07:20:42,TX00013,404,556112,Slice-3,426,425,54,Low,31,1
2025-01-15 08:58:26,TX00014,271,297632,Slice-2,291,273,466,Low,201,0
2025-01-29 16:51:37,TX00015,563,156319,Slice-2,596,596,428,Low,193,0
2025-01-11 02:32:03,TX00016,379,836122,Slice-3,393,390,48,Low,265,1
2025-01-11 19:15:48,TX00017,872,293290,Slice-3,907,894,370,High,15,0
2025-01-13 00:11:16,TX00018,325,116380,Slice-2,355,344,468,High,368,0
2025-01-26 19:56:36,TX00019,722,546980,Slice-1,765,755,443,Medium,111,0
2025-01-24 10:44:21,TX00020,890,535124,Slice-3,930,923,489,Low,360,0
2025-01-14 00:52:43,TX00021,667,405834,Slice-1,714,712,95,Medium,24,1
2025-01-15 18:26:34,TX00022,669,620051,Slice-3,693,685,14,Low,254,1
2025-01-24 05:03:42,TX00023,966,991214,Slice-2,1010,1007,426,High,278,0
2025-01-20 11:26:38,TX00024,691,627400,Slice-2,727,709,158,High,112,0
2025-01-04 16:50:20,TX00025,271,538987,Slice-2,307,307,227,Low,116,1
2025-01-19 09:01:27,TX00026,443,941567,Slice-1,454,443,18,Medium,59,1
2025-01-23 13:01:43,TX00027,126,632985,Slice-2,140,140,240,Low,81,0
2025-01-10 16:56:25,TX00028,809,811167,Slice-2,851,844,375,Medium,265,0
2025-01-09 20:17:22,TX00029,880,400070,Slice-2,918,918,138,Low,96,1
2025-01-13 12:34:23,TX00030,537,372790,Slice-2,579,579,261,Medium,417,0
2025-01-11 02:28:22,TX00031,278,715132,Slice-1,310,297,353,Medium,374,0
2025-01-24 18:31:20,TX00032,466,859177,Slice-2,482,475,51,Medium,445,1
2025-01-08 23:22:56,TX00033,176,190032,Slice-1,197,188,477,Low,463,0
2025-01-30 13:14:23,TX00034,161,559971,Slice-2,171,156,146,Low,162,1
2025-01-26 22:03:54,TX00035,240,203392,Slice-1,273,263,323,Medium,285,0
2025-01-22 01:39:52,TX00036,681,735689,Slice-2,711,710,246,Low,413,1
2025-01-25 15:56:49,TX00037,917,760944,Slice-1,954,944,73,Medium,177,1
2025-01-02 20:07:32,TX00038,556,106449,Slice-2,573,569,98,Low,15,1
2025-01-23 07:43:47,TX00039,445,965657,Slice-1,482,478,92,Low,263,1
2025-01-25 03:52:21,TX00040,315,745631,Slice-2,357,353,84,Low,408,1
2025-01-05 20:12:25,TX00041,485,445588,Slice-1,496,493,158,Low,65,1
2025-01-20 00:06:44,TX00042,200,644966,Slice-1,237,231,179,Medium,315,1
2025-01-22 00:07:44,TX00043,287,933938,Slice-2,317,316,379,Low,215,0
2025-01-21 21:23:14,TX00044,997,414027,Slice-1,1026,1011,359,Low,478,0
2025-01-26 15:25:30,TX00045,140,657615,Slice-2,173,158,372,Medium,332,0
2025-01-27 23:01:11,TX00046,990,437223,Slice-3,1026,1011,342,Medium,150,0
2025-01-24 10:28:31,TX00047,482,977203,Slice-2,505,500,162,Medium,102,0
2025-01-06 19:23:28,TX00048,855,909316,Slice-3,874,874,440,High,65,0
2025-01-16 03:33:56,TX00049,396,680311,Slice-1,416,415,307,Low,48,0
2025-01-20 19:03:26,TX00050,495,746835,Slice-1,517,510,351,Low,366,0
2025-01-12 19:21:52,TX00051,170,633290,Slice-3,188,185,13,Low,9,1
2025-01-05 19:05:12,TX00052,412,150881,Slice-2,429,416,392,Low,294,0
2025-01-23 21:36:02,TX00053,245,163541,Slice-2,281,275,302,Low,363,0
2025-01-15 05:04:58,TX00054,108,762425,Slice-3,129,114,359,Medium,456,0
2025-01-23 22:13:47,TX00055,549,169969,Slice-1,584,569,426,Medium,208,0
2025-01-21 12:53:24,TX00056,767,334324,Slice-3,779,769,118,Medium,350,1
2025-01-07 00:34:42,TX00057,825,576779,Slice-3,840,835,289,High,89,0
2025-01-20 05:22:14,TX00058,52,132359,Slice-2,87,71,280,Medium,324,1
2025-01-17 17:51:28,TX00059,55,857613,Slice-1,69,68,217,Low,87,1
2025-01-30 09:29:05,TX00060,371,229850,Slice-3,416,397,252,Low,32,1
2025-01-19 04:12:07,TX00061,976,142439,Slice-3,1014,1003,243,Low,125,1
2025-01-24 02:41:18,TX00062,629,604312,Slice-2,651,637,299,Low,345,0
2025-01-23 23:24:21,TX00063,702,604310,Slice-2,736,717,127,Medium,12,1
2025-01-09 16:07:44,TX00064,689,428797,Slice-3,735,723,382,High,478,0
2025-01-06 10:19:37,TX00065,757,632618,Slice-1,796,777,350,High,257,0
2025-01-16 20:53:19,TX00066,738,993391,Slice-3,780,763,239,Low,205,0
2025-01-15 21:46:45,TX00067,14,695940,Slice-1,30,30,427,High,343,0
2025-01-28 04:45:34,TX00068,465,204988,Slice-2,486,471,312,Low,232,0
2025-01-30 02:48:59,TX00069,617,380324,Slice-1,636,619,256,Low,332,1
2025-01-22 16:38:26,TX00070,545,249952,Slice-2,556,553,355,Low,281,0
2025-01-08 14:57:29,TX00071,983,645521,Slice-3,1027,1027,281,Medium,179,1
2025-01-10 02:37:28,TX00072,513,855320,Slice-1,543,536,294,Medium,332,1
2025-01-27 22:54:44,TX00073,263,744067,Slice-2,300,300,204,Low,195,1
2025-01-12 19:22:16,TX00074,560,696967,Slice-1,583,573,425,Low,245,0
2025-01-11 15:54:37,TX00075,492,797839,Slice-3,515,503,291,Low,358,1
2025-01-07 14:04:48,TX00076,658,473328,Slice-1,700,697,432,Low,84,0
2025-01-17 13:21:03,TX00077,54,751104,Slice-1,85,71,56,Low,183,1
2025-01-28 23:06:55,TX00078,602,942365,Slice-2,635,617,384,Low,127,0
2025-01-14 10:28:50,TX00079,39,737322,Slice-3,71,68,195,Low,148,1
2025-01-11 09:14:35,TX00080,35,26986,Slice-2,80,72,308,Low,341,0
2025-01-06 03:42:23,TX00081,477,36407,Slice-2,490,484,108,Low,410,0
2025-01-30 11:13:01,TX00082,62,802278,Slice-2,103,93,426,Low,425,0
2025-01-04 22:38:29,TX00083,383,37878,Slice-1,425,425,272,High,91,0
2025-01-04 19:53:59,TX00084,633,939451,Slice-3,669,660,377,Low,498,0
2025-01-26 13:03:31,TX00085,856,636555,Slice-3,896,877,430,Low,328,0
2025-01-16 17:51:40,TX00086,61,383936,Slice-2,89,70,416,Medium,296,0
2025-01-12 13:59:41,TX00087,404,594911,Slice-2,431,423,3,Low,43,1
2025-01-22 06:38:58,TX00088,415,332735,Slice-2,452,434,172,Medium,152,1
2025-01-11 23:43:44,TX00089,719,655131,Slice-1,741,734,57,Medium,61,1
2025-01-14 11:15:08,TX00090,823,74438,Slice-2,865,846,360,High,158,0
2025-01-01 04:28:13,TX00091,822,772849,Slice-1,833,833,409,High,304,0
2025-01-07 14:36:24,TX00092,328,240271,Slice-1,365,359,69,Low,249,1
2025-01-29 10:16:35,TX00093,667,936850,Slice-1,683,670,28,Low,408,1
2025-01-27 07:07:29,TX00094,193,52920,Slice-2,239,221,362,High,21,0
2025-01-13 18:01:42,TX00095,534,219216,Slice-3,563,544,79,Low,444,1
2025-01-06 09:56:52,TX00096,781,841150,Slice-1,800,788,165,Medium,14,0
2025-01-03 17:24:32,TX00097,275,308646,Slice-2,305,305,72,Low,17,1
2025-01-26 19:30:20,TX00098,432,472861,Slice-1,462,459,11,Medium,370,1
2025-01-01 09:46:58,TX00099,79,603102,Slice-2,101,95,280,Low,24,1
2025-01-05 06:58:32,TX00100,203,295427,Slice-1,235,227,277,Medium,395,1
2025-01-07 06:57:05,TX00101,505,458420,Slice-1,552,538,364,Low,99,0
2025-01-24 10:00:09,TX00102,673,313818,Slice-2,710,708,445,Medium,458,0
2025-01-05 13:38:58,TX00103,391,573054,Slice-2,437,428,283,Medium,252,1
2025-01-22 06:25:09,TX00104,374,574496,Slice-1,417,413,277,Medium,144,1
2025-01-11 08:20:27,TX00105,848,455892,Slice-2,891,884,112,Medium,22,1
2025-01-02 15:14:17,TX00106,665,900101,Slice-2,685,679,118,Medium,268,1
2025-01-26 14:10:56,TX00107,345,485089,Slice-1,387,387,321,Low,97,0
2025-01-04 08:40:09,TX00108,889,132151,Slice-1,933,924,274,Low,315,1
2025-01-05 20:02:16,TX00109,80,994613,Slice-2,105,87,298,Medium,235,1
2025-01-25 22:51:41,TX00110,487,541463,Slice-2,510,491,161,Low,55,1
2025-01-05 22:56:09,TX00111,542,187632,Slice-1,580,569,367,Medium,355,0
2025-01-24 10:33:56,TX00112,948,364855,Slice-2,958,951,193,High,156,0
2025-01-26 03:47:50,TX00113,607,764081,Slice-1,650,644,212,Low,291,0
2025-01-21 16:12:59,TX00114,696,820354,Slice-3,741,741,456,Low,155,0
2025-01-06 19:40:25,TX00115,113,897190,Slice-1,147,132,492,High,31,0
2025-01-05 12:20:59,TX00116,347,435745,Slice-3,391,381,247,Low,319,0
2025-01-19 19:11:19,TX00117,878,931378,Slice-2,914,903,187,Medium,145,1
2025-01-15 02:30:36,TX00118,748,886795,Slice-1,778,759,310,Low,61,0
2025-01-15 02:46:38,TX00119,419,613485,Slice-1,430,424,471,Medium,46,0
2025-01-25 00:37:29,TX00120,415,287222,Slice-1,425,410,215,Low,302,1
2025-01-21 11:32:36,TX00121,943,27252,Slice-2,967,948,142,Low,331,1
2025-01-11 19:02:21,TX00122,28,477766,Slice-2,67,58,257,High,151,0
2025-01-15 18:39:36,TX00123,411,207735,Slice-3,447,445,180,Low,306,1
2025-01-11 23:46:41,TX00124,365,785055,Slice-2,390,379,126,Low,319,1
2025-01-05 21:28:36,TX00125,441,305267,Slice-2,484,465,379,Low,14,0
2025-01-12 22:23:08,TX00126,392,563943,Slice-2,437,421,241,Low,357,1
2025-01-17 06:30:45,TX00127,446,204571,Slice-2,494,486,81,Low,135,1
2025-01-10 13:17:12,TX00128,35,843780,Slice-1,49,33,366,Low,40,0
2025-01-18 23:40:03,TX00129,520,779057,Slice-1,550,543,259,High,396,0
2025-01-08 01:32:31,TX00130,989,126390,Slice-1,1029,1010,315,Low,109,0
2025-01-11 08:02:54,TX00131,271,317170,Slice-1,303,290,26,Medium,424,1
2025-01-04 02:36:31,TX00132,924,957250,Slice-1,961,955,364,High,167,0
2025-01-04 11:58:13,TX00133,223,877709,Slice-3,235,216,307,Medium,317,0
2025-01-29 23:44:58,TX00134,210,763597,Slice-3,251,242,447,Medium,310,0
2025-01-15 15:39:15,TX00135,147,262728,Slice-1,180,165,435,Medium,441,0
2025-01-05 16:22:06,TX00136,154,200814,Slice-1,191,189,27,Low,415,1
2025-01-17 12:03:53,TX00137,672,717822,Slice-2,716,704,234,High,76,0
2025-01-11 21:23:39,TX00138,858,655222,Slice-1,882,879,450,Medium,99,0
2025-01-25 17:58:25,TX00139,854,286885,Slice-1,887,873,145,Low,129,0
2025-01-16 20:38:40,TX00140,872,502496,Slice-2,888,872,254,Low,493,1
2025-01-05 09:11:38,TX00141,102,385539,Slice-3,119,100,302,Low,334,0
2025-01-04 20:25:16,TX00142,481,219919,Slice-2,505,488,24,Medium,251,0
2025-01-12 21:02:28,TX00143,344,695103,Slice-1,362,358,459,Medium,52,0
2025-01-22 23:57:18,TX00144,930,845955,Slice-1,974,965,152,Low,329,1
2025-01-19 03:03:48,TX00145,70,982536,Slice-1,106,94,31,Low,17,1
2025-01-08 12:58:13,TX00146,309,416003,Slice-2,335,325,437,Low,444,0
2025-01-10 23:45:46,TX00147,36,397412,Slice-2,54,42,85,Medium,251,1
2025-01-30 17:32:36,TX00148,218,768989,Slice-3,248,234,365,Low,90,0
2025-01-21 20:47:44,TX00149,377,25909,Slice-3,425,415,342,Medium,177,0
2025-01-29 11:16:26,TX00150,704,869860,Slice-2,733,730,95,Low,469,1
2025-01-16 17:09:01,TX00151,429,284488,Slice-1,467,460,286,High,90,0
2025-01-17 05:11:26,TX00152,541,457253,Slice-1,573,566,240,Medium,272,1
2025-01-18 20:04:23,TX00153,745,603949,Slice-2,783,766,376,High,396,0
2025-01-17 12:06:13,TX00154,664,619173,Slice-1,682,663,130,Medium,44,1
2025-01-16 15:04:52,TX00155,279,789059,Slice-1,321,312,425,High,268,0
2025-01-16 08:32:48,TX00156,646,231072,Slice-3,681,671,286,Medium,154,1
2025-01-30 02:48:31,TX00157,897,3347,Slice-3,909,895,461,Low,429,0
2025-01-26 02:48:10,TX00158,624,411561,Slice-1,671,670,247,Low,248,0
2025-01-15 04:33:13,TX00159,141,606077,Slice-3,168,165,373,High,52,0
2025-01-05 16:13:09,TX00160,863,365831,Slice-3,910,905,175,High,480,0
2025-01-30 08:46:15,TX00161,473,863989,Slice-1,508,489,416,High,362,0
2025-01-20 22:49:39,TX00162,549,665449,Slice-1,561,550,307,Low,74,0
2025-01-29 17:18:25,TX00163,222,642022,Slice-1,247,243,498,Low,121,0
2025-01-15 23:42:58,TX00164,124,716220,Slice-1,136,121,84,Medium,237,1
2025-01-23 22:58:29,TX00165,403,149907,Slice-3,442,423,86,Low,203,1
2025-01-26 00:39:45,TX00166,279,109380,Slice-3,292,280,381,High,137,0
2025-01-16 10:14:22,TX00167,46,897226,Slice-2,92,91,481,Low,490,0
2025-01-04 02:13:37,TX00168,907,756187,Slice-1,951,932,185,Low,33,1
2025-01-17 18:11:29,TX00169,435,27488,Slice-3,456,445,438,Low,403,0
2025-01-02 20:34:38,TX00170,293,814354,Slice-2,331,321,480,Medium,100,0
2025-01-23 01:57:09,TX00171,415,203876,Slice-1,430,421,266,Low,341,0
2025-01-15 08:17:37,TX00172,451,730639,Slice-1,490,485,3,High,367,0
2025-01-14 04:18:47,TX00173,902,598744,Slice-1,914,908,191,High,45,0
2025-01-29 18:11:03,TX00174,304,257938,Slice-1,347,336,135,Low,380,0
2025-01-13 00:00:06,TX00175,15,525329,Slice-3,56,52,179,High,188,0
2025-01-24 20:29:42,TX00176,976,151472,Slice-1,1001,985,331,High,285,0
2025-01-05 17:40:52,TX00177,48,81261,Slice-1,72,56,415,Low,110,0
2025-01-16 05:10:36,TX00178,423,123280,Slice-2,447,435,498,Low,464,0
2025-01-27 13:21:36,TX00179,782,988904,Slice-1,830,822,180,High,396,0
2025-01-07 19:08:01,TX00180,311,111581,Slice-3,344,343,366,Medium,155,0
2025-01-19 10:36:31,TX00181,229,761733,Slice-3,267,263,259,Low,196,0
2025-01-04 16:14:28,TX00182,502,804969,Slice-2,537,525,227,Medium,231,1
2025-01-14 21:36:05,TX00183,673,65216,Slice-1,687,670,83,Low,21,1
2025-01-19 13:34:59,TX00184,968,562029,Slice-1,991,984,443,Low,134,0
2025-01-27 01:29:43,TX00185,374,543348,Slice-1,403,396,33,High,136,0
2025-01-25 04:19:04,TX00186,70,643792,Slice-1,87,75,1,Low,463,1
2025-01-01 14:08:58,TX00187,177,97062,Slice-1,188,188,485,Low,177,0
2025-01-22 15:26:30,TX00188,904,82829,Slice-2,932,918,141,Low,336,1
2025-01-04 19:14:31,TX00189,184,573520,Slice-1,208,194,467,Low,266,0
2025-01-16 01:47:54,TX00190,124,929370,Slice-2,138,133,298,Low,401,1
2025-01-23 11:11:48,TX00191,82,53116,Slice-1,116,108,71,High,68,0
2025-01-24 22:00:37,TX00192,358,152256,Slice-1,381,363,407,Medium,5,0
2025-01-01 07:17:04,TX00193,861,818741,Slice-2,880,877,6,Low,117,1
2025-01-07 15:23:03,TX00194,967,24374,Slice-3,998,997,105,High,285,0
2025-01-24 04:48:05,TX00195,145,5501,Slice-3,173,160,438,Low,479,0
2025-01-20 06:35:14,TX00196,991,948752,Slice-2,1032,1032,431,Low,292,0
2025-01-09 17:21:24,TX00197,606,342368,Slice-2,624,616,20,Low,222,1
2025-01-29 08:32:02,TX00198,817,337453,Slice-3,846,833,208,Medium,182,1
2025-01-14 23:36:09,TX00199,313,106605,Slice-1,327,326,110,Low,338,1
2025-01-02 14:21:59,TX00200,824,313795,Slice-1,855,844,84,Low,474,1
2025-01-03 09:13:05,TX00201,868,959805,Slice-2,895,885,151,Low,314,0
2025-01-25 10:41:36,TX00202,297,851394,Slice-1,315,308,349,Low,179,0
2025-01-19 22:27:26,TX00203,688,551666,Slice-1,734,727,447,Medium,7,0
2025-01-24 22:08:27,TX00204,321,471492,Slice-1,363,356,21,Low,329,1
2025-01-25 09:35:17,TX00205,555,821549,Slice-2,582,570,87,Low,307,1
2025-01-27 13:07:33,TX00206,454,939035,Slice-1,488,481,176,Low,153,0
2025-01-04 09:36:00,TX00207,868,48919,Slice-3,882,870,7,Medium,77,1
2025-01-02 09:23:47,TX00208,534,443953,Slice-2,575,571,277,High,159,0
2025-01-09 22:57:34,TX00209,193,206679,Slice-2,234,229,140,Low,22,1
2025-01-13 07:55:06,TX00210,635,774107,Slice-2,656,642,131,Low,213,1
2025-01-07 23:34:29,TX00211,983,288633,Slice-2,997,990,44,Low,105,1
2025-01-02 06:07:20,TX00212,59,444793,Slice-2,99,88,26,Medium,21,1
2025-01-18 22:18:57,TX00213,468,293446,Slice-3,494,488,52,Low,289,1
2025-01-18 01:50:17,TX00214,283,876660,Slice-2,305,287,228,Low,288,0
2025-01-21 22:34:45,TX00215,219,422956,Slice-3,247,243,33,Low,286,1
2025-01-07 07:59:46,TX00216,18,361311,Slice-1,31,29,96,High,37,0
2025-01-18 08:33:33,TX00217,211,123090,Slice-2,250,239,169,Low,197,1
2025-01-27 08:31:32,TX00218,15,423871,Slice-3,59,54,152,Low,312,1
2025-01-08 02:40:49,TX00219,314,948581,Slice-1,338,325,305,Medium,81,0
2025-01-02 22:46:44,TX00220,501,913328,Slice-2,515,512,293,Medium,464,0
2025-01-21 04:13:28,TX00221,589,790847,Slice-3,630,614,292,High,118,0
2025-01-16 16:10:14,TX00222,335,786575,Slice-1,371,364,109,Medium,193,0
2025-01-25 09:30:43,TX00223,411,962999,Slice-1,455,447,406,Low,306,0
2025-01-13 20:27:44,TX00224,265,411035,Slice-1,284,265,50,Medium,120,1
2025-01-22 14:43:52,TX00225,626,58771,Slice-2,661,649,143,Low,184,1
2025-01-12 22:32:24,TX00226,767,24061,Slice-3,790,785,220,Low,211,1
2025-01-30 09:47:53,TX00227,653,697521,Slice-2,679,666,38,Low,276,1
2025-01-18 21:06:47,TX00228,295,887814,Slice-3,326,315,213,Low,469,1
2025-01-28 17:55:38,TX00229,318,315509,Slice-1,360,342,246,High,310,0
2025-01-03 12:11:29,TX00230,418,701842,Slice-1,457,440,482,Low,18,0
2025-01-13 02:59:52,TX00231,793,133347,Slice-2,819,805,29,High,360,0
2025-01-18 20:18:33,TX00232,712,643501,Slice-2,728,725,451,Medium,372,0
2025-01-18 05:35:02,TX00233,408,52265,Slice-2,436,435,48,Low,5,1
2025-01-24 06:39:11,TX00234,249,203980,Slice-2,264,262,50,Low,280,1
2025-01-03 04:46:56,TX00235,310,683884,Slice-2,352,343,77,Medium,472,1
2025-01-19 17:11:19,TX00236,864,69383,Slice-1,905,899,14,High,499,0
2025-01-18 16:51:52,TX00237,564,209493,Slice-1,605,587,94,Low,46,1
2025-01-02 18:42:44,TX00238,964,175726,Slice-3,1013,1011,266,Medium,173,1
2025-01-19 01:25:02,TX00239,436,599275,Slice-2,459,458,222,High,350,0
2025-01-30 11:09:26,TX00240,981,287078,Slice-2,998,997,374,High,41,0
2025-01-12 17:29:23,TX00241,111,928732,Slice-2,156,151,423,Low,274,0
2025-01-18 19:21:25,TX00242,240,460929,Slice-1,289,289,165,Medium,483,1
2025-01-01 02:57:36,TX00243,352,228273,Slice-1,388,375,202,High,15,0
2025-01-12 04:03:15,TX00244,634,603518,Slice-2,680,663,1,High,211,0
2025-01-23 07:17:31,TX00245,576,895028,Slice-3,606,606,455,Medium,44,0
2025-01-16 00:50:13,TX00246,864,36512,Slice-2,890,888,368,Medium,396,0
2025-01-23 02:19:22,TX00247,813,889916,Slice-2,851,847,73,Medium,133,1
2025-01-23 00:19:50,TX00248,439,14436,Slice-1,480,472,142,Medium,56,1
2025-01-11 16:37:57,TX00249,389,513210,Slice-1,438,437,287,High,279,0
2025-01-08 12:25:19,TX00250,164,956868,Slice-2,178,170,421,Low,170,0
2025-01-12 14:48:46,TX00251,734,135293,Slice-1,772,757,154,Medium,254,1
2025-01-09 10:42:54,TX00252,948,759061,Slice-1,960,958,10,Low,192,1
2025-01-04 22:40:58,TX00253,63,777720,Slice-2,84,71,167,Low,201,1
2025-01-06 19:01:50,TX00254,695,364237,Slice-1,743,732,346,Low,191,0
2025-01-30 19:24:11,TX00255,419,667211,Slice-1,434,419,130,Low,200,1
2025-01-29 01:24:35,TX00256,659,411915,Slice-2,691,689,442,Medium,163,0
2025-01-26 02:15:27,TX00257,559,449014,Slice-3,583,577,360,High,345,0
2025-01-30 05:14:39,TX00258,299,969063,Slice-1,338,337,199,Low,495,1
2025-01-26 08:47:25,TX00259,227,489714,Slice-1,257,243,8,Low,309,1
2025-01-03 15:14:54,TX00260,50,63206,Slice-2,64,55,224,Low,258,1
2025-01-27 09:15:59,TX00261,810,485604,Slice-1,852,851,482,Low,296,0
2025-01-08 12:08:30,TX00262,944,50536,Slice-2,978,978,465,Low,55,0
2025-01-19 09:57:51,TX00263,370,260097,Slice-3,405,392,374,High,164,0
2025-01-27 12:59:27,TX00264,701,321002,Slice-3,721,715,7,Medium,494,1
2025-01-08 22:56:09,TX00265,71,451247,Slice-1,108,104,259,Low,433,0
2025-01-22 02:35:59,TX00266,709,817605,Slice-2,721,720,139,Low,140,1
2025-01-06 09:03:58,TX00267,958,26062,Slice-2,974,972,308,Low,486,0
2025-01-14 11:13:02,TX00268,886,429917,Slice-3,913,902,220,High,369,0
2025-01-15 02:19:28,TX00269,968,586713,Slice-2,1005,998,165,High,0,0
2025-01-09 06:29:28,TX00270,594,956923,Slice-2,637,636,97,Medium,319,0
2025-01-07 15:11:21,TX00271,375,513542,Slice-1,401,396,302,High,107,0
2025-01-17 02:03:00,TX00272,580,188965,Slice-1,627,622,393,Medium,274,0
2025-01-14 20:13:53,TX00273,247,589625,Slice-3,292,277,8,High,84,0
2025-01-12 12:38:33,TX00274,473,79857,Slice-1,493,488,160,High,375,0
2025-01-21 23:57:18,TX00275,832,892122,Slice-1,847,834,49,Low,469,1
2025-01-08 03:44:58,TX00276,171,376682,Slice-2,206,191,353,Medium,244,0
2025-01-30 08:21:22,TX00277,113,580858,Slice-2,138,126,223,High,490,0
2025-01-17 12:35:56,TX00278,415,609881,Slice-2,436,424,57,Medium,78,1
2025-01-03 05:24:15,TX00279,267,566796,Slice-2,288,270,49,Low,263,1
2025-01-20 04:23:11,TX00280,557,782239,Slice-3,588,575,35,High,138,0
